athlete_id,noc_id
1,42
2,42
3,56
4,56
5,146
5,146
5,146
5,146
5,146
5,146
6,217
6,217
6,217
6,217
6,217
6,217
6,217
6,217
7,217
7,217
7,217
7,217
7,217
7,217
7,217
7,217
8,146
8,146
9,69
10,69
11,69
12,69
13,69
13,69
14,69
15,69
15,69
15,69
15,69
15,69
16,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
17,69
18,69
19,69
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
20,151
21,151
22,170
23,151
23,151
24,151
24,151
24,151
25,151
26,151
27,146
28,151
28,151
29,146
30,146
30,146
31,65
32,151
33,69
33,69
34,70
35,151
36,146
36,146
36,146
36,146
36,146
37,151
38,151
39,151
39,151
39,151
40,151
40,151
40,151
40,151
40,151
40,151
41,151
42,151
43,151
44,65
44,65
44,65
44,65
44,65
45,151
46,151
46,151
46,151
46,151
46,151
47,151
47,151
47,151
47,151
48,126
49,65
49,65
50,65
50,65
51,64
51,64
51,64
51,64
51,64
51,64
52,70
53,61
54,95
55,64
56,70
56,70
57,33
58,33
58,33
59,33
59,33
60,33
61,33
62,101
63,64
64,40
65,15
66,190
67,172
67,172
68,9
68,9
69,64
70,53
71,53
71,53
72,26
72,26
73,70
73,70
73,70
74,9
75,82
76,44
77,44
78,208
79,41
80,64
81,82
82,131
83,41
84,217
85,64
85,64
85,64
86,64
86,64
87,215
88,215
89,41
90,172
90,172
91,101
92,101
93,70
93,70
94,41
95,82
96,145
97,145
98,131
98,131
98,131
99,91
100,91
100,91
101,149
102,61
102,61
103,101
104,40
105,4
105,4
106,101
106,101
106,101
107,101
107,101
107,101
107,101
108,101
108,101
108,101
108,101
109,113
109,113
109,113
110,31
111,155
112,97
113,97
114,113
115,155
116,211
116,61
117,120
117,120
118,61
119,61
120,97
121,155
122,167
123,155
123,155
123,155
124,61
125,127
126,95
127,155
127,155
127,155
128,95
129,15
130,15
131,15
132,101
133,80
134,101
135,146
136,101
137,101
137,101
138,97
139,82
140,37
140,37
141,96
141,96
142,217
143,13
144,171
145,217
145,217
145,217
146,37
147,37
148,37
149,217
150,217
151,217
152,37
153,217
154,126
155,61
155,61
155,61
156,61
157,61
157,61
158,61
159,61
159,61
159,61
160,62
161,61
162,61
162,61
163,211
163,211
163,211
163,211
163,211
163,211
163,211
163,211
164,61
165,217
166,197
166,197
167,70
168,113
169,104
170,61
171,61
172,61
173,190
174,211
175,61
176,211
177,61
178,190
178,190
179,190
179,190
180,61
180,61
181,61
182,61
183,211
184,61
185,61
185,61
185,61
185,61
185,61
186,211
187,61
188,61
189,190
190,61
191,61
192,61
193,61
193,61
193,61
193,61
193,61
193,211
194,211
195,61
195,211
196,207
197,61
198,61
199,61
199,61
200,61
201,61
202,61
202,61
203,61
203,61
204,116
205,61
206,211
206,61
207,61
207,61
207,61
207,61
207,61
207,61
207,61
208,61
209,211
210,61
211,211
211,61
211,61
212,61
213,61
213,61
213,61
214,61
215,61
216,61
217,61
218,61
219,61
220,211
221,61
222,61
223,61
223,61
223,61
223,61
223,61
223,61
223,61
223,61
224,61
225,61
225,61
225,61
226,190
227,61
228,61
229,61
230,61
230,61
230,61
230,61
230,61
230,61
230,61
230,61
231,61
232,61
232,61
233,61
234,190
235,61
236,61
236,61
237,70
238,61
238,61
239,4
240,61
241,61
242,61
243,61
244,61
244,61
244,61
244,61
244,61
245,61
246,61
247,4
248,4
248,4
249,4
249,4
250,95
250,95
251,20
251,20
252,13
252,13
253,167
253,167
254,57
254,57
255,61
255,61
255,61
255,61
255,61
255,61
255,61
256,217
256,217
256,217
256,217
257,13
257,13
257,13
258,160
259,37
259,37
259,37
260,190
261,95
262,44
263,48
264,37
265,61
266,61
267,61
267,61
267,61
267,61
268,40
269,44
270,61
271,61
272,106
273,32
274,97
275,113
276,127
276,127
277,61
277,61
277,61
278,127
279,32
279,32
280,190
281,93
281,93
282,97
282,97
283,112
284,196
285,97
286,113
286,113
287,97
288,167
289,130
290,31
291,112
292,95
293,104
294,31
295,66
296,127
297,155
298,155
299,97
299,97
300,97
300,97
301,97
302,155
303,97
304,61
304,61
305,112
306,210
307,225
308,113
308,113
309,155
310,92
311,97
312,97
313,149
313,149
313,149
313,149
314,37
315,61
316,215
317,159
317,159
317,159
317,159
317,159
318,97
319,61
320,61
321,167
322,61
323,217
324,97
325,61
326,210
326,210
326,210
326,210
326,210
326,210
327,210
328,97
329,113
330,61
331,127
331,127
331,127
331,127
