id,year,sport,medal_type
7828,1980,Rowing Men's Coxless Fours,Silver
7829,1972,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
7830,1984,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
7831,1956,Hockey Men's Hockey,Bronze
7832,1972,"Shooting Mixed Free Pistol, 50 metres",Bronze
7833,1976,"Shooting Mixed Free Pistol, 50 metres",Bronze
7834,1964,Cycling Men's 100 kilometres Team Time Trial,Gold
7835,2012,"Fencing Men's Sabre, Team",Silver
7836,1924,"Athletics Men's Cross-Country, Team",Bronze
7837,1936,Athletics Women's 4 x 100 metres Relay,Bronze
7838,1980,Athletics Women's Shot Put,Silver
7839,2004,Softball Women's Softball,Silver
7840,1972,Volleyball Men's Volleyball,Bronze
7841,1976,Gymnastics Women's Team All-Around,Bronze
7842,1976,Gymnastics Women's Horse Vault,Silver
7843,2012,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
7844,1980,Athletics Men's Long Jump,Gold
7845,1972,Basketball Men's Basketball,Bronze
7846,1956,"Cycling Men's Team Pursuit, 4,000 metres",Gold
7847,1912,Gymnastics Men's Team All-Around,Gold
7848,1920,Gymnastics Men's Team All-Around,Gold
7849,1988,Rowing Men's Coxed Eights,Gold
7850,1984,Volleyball Men's Volleyball,Silver
7851,2016,Basketball Women's Basketball,Silver
7852,2004,Handball Men's Handball,Gold
7853,2010,Figure Skating Mixed Ice Dancing,Bronze
7854,2016,Rugby Sevens Men's Rugby Sevens,Gold
7855,1960,"Fencing Women's Foil, Team",Silver
7856,1964,"Fencing Women's Foil, Team",Gold
7857,1968,"Fencing Women's Foil, Team",Silver
7858,1960,Water Polo Men's Water Polo,Bronze
7859,1964,Water Polo Men's Water Polo,Gold
7860,1968,Water Polo Men's Water Polo,Bronze
7861,1936,"Athletics Men's 3,000 metres Steeplechase",Bronze
7862,2010,Biathlon Women's 15 kilometres,Bronze
7863,2014,Biathlon Women's 10 kilometres Pursuit,Gold
7864,2014,Biathlon Women's 12.5 kilometres Mass Start,Gold
7865,2014,Biathlon Women's 15 kilometres,Gold
7866,2004,Football Men's Football,Bronze
7867,2006,Speed Skating Men's Team Pursuit (8 laps),Gold
7868,2012,Swimming Women's 4 x 100 metres Medley Relay,Gold
7869,1912,Athletics Men's Pentathlon,Silver
7870,2008,Baseball Men's Baseball,Bronze
7871,1980,Gymnastics Men's Team All-Around,Bronze
7872,1960,Athletics Women's 800 metres,Bronze
7873,2012,Athletics Men's Triple Jump,Bronze
7874,1960,Speed Skating Women's 500 metres,Silver
7875,1920,Rowing Men's Double Sculls,Silver
7876,1980,"Equestrianism Mixed Dressage, Team",Bronze
7877,1968,Football Men's Football,Silver
7878,2016,Athletics Men's Triple Jump,Bronze
7879,2008,Trampolining Men's Individual,Bronze
7880,2012,Trampolining Men's Individual,Gold
7881,2016,Trampolining Men's Individual,Silver
7882,1996,Badminton Men's Singles,Silver
7883,2000,"Fencing Men's Foil, Team",Silver
7884,2004,"Fencing Men's Foil, Team",Silver
7885,2004,Judo Women's Heavyweight,Bronze
7886,1992,Diving Men's Platform,Silver
7887,1988,Athletics Women's 100 metres Hurdles,Gold
7888,1992,Athletics Women's 100 metres Hurdles,Bronze
7889,1928,Rowing Men's Coxed Eights,Gold
7890,1900,Cricket Men's Cricket,Gold
7891,1924,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
7892,1928,Rowing Men's Coxed Eights,Bronze
7893,1908,Water Polo Men's Water Polo,Silver
7894,1912,Water Polo Men's Water Polo,Bronze
7895,1996,Hockey Women's Hockey,Bronze
7896,2000,Hockey Women's Hockey,Bronze
7897,2004,Hockey Women's Hockey,Silver
7898,1900,Sailing Mixed 2-3 Ton,Bronze
7899,1992,Rowing Women's Coxless Fours,Silver
7900,1984,Basketball Women's Basketball,Gold
7901,1988,Basketball Women's Basketball,Gold
7902,2012,Rhythmic Gymnastics Women's Group,Gold
7903,1992,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
7904,1992,"Canoeing Women's Kayak Fours, 500 metres",Gold
7905,1952,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
7906,1904,Football Men's Football,Bronze
7907,1912,"Fencing Men's epee, Team",Bronze
7908,1912,"Fencing Men's Sabre, Team",Bronze
7909,1920,"Fencing Men's Sabre, Team",Bronze
7910,1924,"Fencing Men's Sabre, Team",Bronze
7911,1988,"Canoeing Men's Canadian Doubles, 500 metres",Silver
7912,1988,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
7913,1998,Ice Hockey Men's Ice Hockey,Gold
7914,1984,Hockey Men's Hockey,Silver
7915,1988,Hockey Men's Hockey,Silver
7916,1992,Hockey Women's Hockey,Gold
7917,1896,"Shooting Men's Military Pistol, 25 metres",Bronze
7918,1992,Rowing Women's Coxed Eights,Bronze
7919,1952,Athletics Men's 50 kilometres Walk,Gold
7920,1988,Sailing Mixed One Person Dinghy,Gold
7921,1984,Sailing Mixed Two Person Dinghy,Gold
7922,1992,Sailing Mixed Two Person Heavyweight Dinghy,Gold
7923,2000,Rowing Men's Lightweight Coxless Fours,Gold
7924,1998,Alpine Skiing Women's Super G,Silver
7925,2006,Alpine Skiing Women's Downhill,Gold
7926,2006,Alpine Skiing Women's Super G,Gold
7927,1936,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
7928,1936,"Cycling Men's Road Race, Team",Gold
7929,2010,Biathlon Women's 7.5 kilometres Sprint,Bronze
7930,2010,Biathlon Women's 4 x 6 kilometres Relay,Silver
7931,1984,"Athletics Women's 1,500 metres",Gold
7932,1906,Athletics Men's Stone Throw,Bronze
7933,1908,"Athletics Men's Javelin Throw, Freestyle",Silver
7934,2016,Boxing Men's Lightweight,Bronze
7935,1996,Judo Men's Extra-Lightweight,Bronze
7936,1992,"Shooting Women's Sporting Pistol, 25 metres",Bronze
7937,2008,"Shooting Women's Sporting Pistol, 25 metres",Bronze
7938,2016,Judo Women's Lightweight,Silver
7939,1988,Hockey Women's Hockey,Gold
7940,2016,Diving Men's Synchronized Springboard,Silver
7941,1976,Football Men's Football,Gold
7942,1988,Basketball Women's Basketball,Silver
7943,2000,Rowing Women's Quadruple Sculls,Bronze
7944,2006,Speed Skating Men's 500 metres,Silver
7945,1992,Boxing Men's Light-Welterweight,Bronze
7946,1996,Boxing Men's Lightweight,Bronze
7947,1976,Volleyball Men's Volleyball,Silver
7948,1980,Volleyball Men's Volleyball,Gold
7949,1906,Tug-Of-War Men's Tug-Of-War,Gold
7950,1988,Athletics Women's Marathon,Bronze
7951,1992,Swimming Women's 4 x 100 metres Medley Relay,Silver
7952,1932,Sailing Mixed 8 metres,Gold
7953,1984,Water Polo Men's Water Polo,Silver
7954,2012,Football Men's Football,Gold
7955,1960,Swimming Men's 100 metres Freestyle,Bronze
7956,2016,"Wrestling Women's Light-Heavyweight, Freestyle",Gold
7957,1992,Football Men's Football,Bronze
7958,1936,Handball Men's Handball,Gold
7959,2012,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
7960,2016,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
7961,2016,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
7962,1996,Football Men's Football,Gold
7963,2000,Boxing Men's Welterweight,Silver
7964,1968,Athletics Men's 800 metres,Gold
7965,1900,Sailing Mixed 2-3 Ton,Silver
7966,1900,Sailing Mixed 2-3 Ton,Silver
7967,2004,"Canoeing Women's Kayak Singles, 500 metres",Gold
7968,2004,"Canoeing Women's Kayak Doubles, 500 metres",Gold
7969,2008,"Canoeing Women's Kayak Doubles, 500 metres",Gold
7970,2008,"Canoeing Women's Kayak Fours, 500 metres",Silver
7971,2012,"Canoeing Women's Kayak Singles, 200 metres",Bronze
7972,2012,"Canoeing Women's Kayak Doubles, 500 metres",Silver
7973,1932,Athletics Men's Shot Put,Bronze
7974,1956,Ice Hockey Men's Ice Hockey,Silver
7975,2010,Ice Hockey Men's Ice Hockey,Gold
7976,2014,Ice Hockey Men's Ice Hockey,Gold
7977,1992,Volleyball Men's Volleyball,Gold
7978,1968,Rowing Men's Coxed Eights,Silver
7979,1932,Sailing Mixed 6 metres,Silver
7980,2012,Gymnastics Women's Individual All-Around,Gold
7981,2012,Gymnastics Women's Team All-Around,Gold
7982,2016,Gymnastics Women's Team All-Around,Gold
7983,1932,Rowing Men's Single Sculls,Bronze
7984,1948,Athletics Men's Long Jump,Bronze
7985,1960,Ice Hockey Men's Ice Hockey,Silver
7986,1908,Boxing Men's Middleweight,Gold
7987,2000,Rowing Men's Coxed Eights,Gold
7988,1992,Athletics Women's 4 x 400 metres Relay,Bronze
7989,2016,Football Men's Football,Gold
7990,1992,Judo Men's Heavyweight,Bronze
7991,1996,Judo Men's Heavyweight,Gold
7992,2000,Judo Men's Heavyweight,Gold
7993,2016,"Cycling Men's Team Pursuit, 4,000 metres",Gold
7994,1992,"Equestrianism Mixed Dressage, Team",Bronze
7995,1996,"Equestrianism Mixed Dressage, Team",Bronze
7996,2000,"Equestrianism Mixed Dressage, Team",Bronze
7997,2004,"Equestrianism Mixed Dressage, Team",Bronze
7998,2000,Modern Pentathlon Men's Individual,Bronze
7999,1992,"Canoeing Men's Canadian Doubles, 500 metres",Gold
8000,1980,Rowing Men's Quadruple Sculls,Silver
8001,2012,Rowing Women's Quadruple Sculls,Gold
8002,1994,Alpine Skiing Women's Combined,Bronze
8003,1948,Ice Hockey Men's Ice Hockey,Gold
8004,1908,Tug-Of-War Men's Tug-Of-War,Bronze
8005,1912,Tug-Of-War Men's Tug-Of-War,Silver
8006,1904,Lacrosse Men's Lacrosse,Silver
8007,1908,Sailing Mixed 12 metres,Gold
8008,1908,Sailing Mixed 12 metres,Gold
8009,1988,Boxing Men's Light-Middleweight,Bronze
8010,1976,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
8011,1904,Cycling Men's 1/4 mile,Silver
8012,1904,Cycling Men's 1/3 mile,Silver
8013,1904,Cycling Men's 1/2 mile,Bronze
8014,1904,Cycling Men's 1 mile,Silver
8015,1904,Cycling Men's 2 mile,Gold
8016,1904,Cycling Men's 25 mile,Gold
8017,1956,Rowing Men's Coxed Eights,Bronze
8018,1980,"Wrestling Men's Middleweight, Greco-Roman",Silver
8019,2012,Handball Women's Handball,Silver
8020,2008,Tennis Men's Singles,Bronze
8021,1996,Basketball Men's Basketball,Silver
8022,1994,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
8023,1998,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
8024,1960,Rowing Men's Coxed Pairs,Bronze
8025,1968,Boxing Men's Light-Heavyweight,Bronze
8026,1976,Handball Men's Handball,Silver
8027,1980,Handball Men's Handball,Bronze
8028,2004,Swimming Men's 50 metres Freestyle,Silver
8029,2000,Athletics Women's Pole Vault,Gold
8030,2008,Gymnastics Women's Team All-Around,Bronze
8031,2004,Gymnastics Men's Team All-Around,Bronze
8032,2004,Gymnastics Men's Floor Exercise,Silver
8033,2004,Gymnastics Men's Horse Vault,Bronze
8034,2004,Handball Men's Handball,Silver
8035,2016,Rowing Men's Coxed Eights,Silver
8036,1984,"Wrestling Men's Middleweight, Greco-Roman",Gold
8037,1936,"Fencing Men's epee, Team",Silver
8038,1948,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
8039,1948,"Canoeing Men's Canadian Doubles, 10,000 metres",Bronze
8040,1956,"Canoeing Men's Canadian Doubles, 10,000 metres",Silver
8041,2004,Sailing Mixed Skiff,Bronze
8042,1936,Athletics Men's 4 x 100 metres Relay,Gold
8043,1948,Diving Women's Springboard,Gold
8044,1948,Diving Women's Platform,Gold
8045,1964,Athletics Men's 200 metres,Silver
8046,1964,Athletics Men's 4 x 100 metres Relay,Gold
8047,1988,Athletics Women's 100 metres,Bronze
8048,1988,Athletics Women's 200 metres,Bronze
8049,1988,Athletics Women's Long Jump,Silver
8050,1992,Athletics Women's Long Jump,Gold
8051,2000,Athletics Women's Long Jump,Gold
8052,1908,"Athletics Men's 3 mile, Team",Bronze
8053,1992,Hockey Men's Hockey,Silver
8054,1996,Hockey Men's Hockey,Bronze
8055,2000,Hockey Men's Hockey,Bronze
8056,1972,Athletics Men's Triple Jump,Silver
8057,1980,Handball Men's Handball,Gold
8058,1976,Rowing Men's Single Sculls,Bronze
8059,1980,Rowing Men's Double Sculls,Gold
8060,2014,Bobsleigh Men's Four,Silver
8061,1992,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
8062,1908,Football Men's Football,Silver
8063,2016,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
8064,2016,Swimming Men's 4 x 100 metres Medley Relay,Gold
8065,1912,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
8066,1920,"Athletics Men's 3,000 metres, Team",Gold
8067,1972,Water Polo Men's Water Polo,Gold
8068,2000,Gymnastics Men's Team All-Around,Bronze
8069,1928,Rowing Men's Coxed Fours,Bronze
8070,1952,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
8071,1952,"Canoeing Men's Canadian Doubles, 10,000 metres",Bronze
8072,1972,Alpine Skiing Women's Giant Slalom,Bronze
8073,1992,Basketball Men's Basketball,Gold
8074,1948,Boxing Men's Lightweight,Gold
8075,2006,Ice Hockey Women's Ice Hockey,Bronze
8076,1956,"Fencing Men's epee, Team",Bronze
8077,1964,"Fencing Men's epee, Team",Bronze
8078,2012,Water Polo Women's Water Polo,Gold
8079,2004,Swimming Men's 4 x 100 metres Medley Relay,Silver
8080,1948,Hockey Men's Hockey,Bronze
8081,1952,Hockey Men's Hockey,Silver
8082,1968,"Fencing Men's Foil, Individual",Gold
8083,1906,Rowing Men's 17-Man Naval Rowing Boats,Gold
8084,1896,Swimming Men's 100 metres Freestyle For Sailors,Bronze
8085,1980,Handball Women's Handball,Silver
8086,1948,Ice Hockey Men's Ice Hockey,Silver
8087,1928,Athletics Men's Pole Vault,Silver
8088,1980,Athletics Women's Shot Put,Bronze
8089,1980,Cycling Men's 100 kilometres Team Time Trial,Silver
8090,1960,Boxing Men's Welterweight,Bronze
8091,1998,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
8092,2002,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
8093,2014,"Short Track Speed Skating Women's 3,000 metres Relay",Silver
8094,1998,Ice Hockey Women's Ice Hockey,Silver
8095,1948,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
8096,1968,Rowing Men's Double Sculls,Silver
8097,1972,Hockey Men's Hockey,Gold
8098,1936,Hockey Men's Hockey,Silver
8099,2004,Athletics Women's Marathon,Bronze
8100,1900,Swimming Men's 200 metres Backstroke,Bronze
8101,2012,Athletics Men's High Jump,Bronze
8102,2016,Athletics Men's High Jump,Gold
8103,1984,Ice Hockey Men's Ice Hockey,Gold
8104,1900,Archery Men's Sur La Perche a La Herse,Silver
8105,1984,Hockey Women's Hockey,Silver
8106,2014,Curling Men's Curling,Silver
8107,1996,Athletics Men's 4 x 100 metres Relay,Silver
8108,2000,Athletics Men's 4 x 100 metres Relay,Gold
8109,2016,Rowing Women's Coxed Eights,Bronze
8110,2002,Ice Hockey Men's Ice Hockey,Silver
8111,2010,Ice Hockey Men's Ice Hockey,Silver
8112,1920,Ice Hockey Men's Ice Hockey,Silver
8113,1924,Ice Hockey Men's Ice Hockey,Silver
8114,1912,Gymnastics Men's Team All-Around,Bronze
8115,1972,Athletics Men's 110 metres Hurdles,Silver
8116,1976,Athletics Men's 110 metres Hurdles,Gold
8117,2016,Handball Men's Handball,Bronze
8118,1984,Shooting Mixed Skeet,Gold
8119,2008,Rowing Men's Single Sculls,Bronze
8120,2012,Rowing Men's Single Sculls,Gold
8121,2016,Rowing Men's Single Sculls,Gold
8122,1988,Handball Women's Handball,Bronze
8123,1992,Handball Women's Handball,Bronze
8124,2008,Badminton Women's Doubles,Gold
8125,2004,"Shooting Women's Air Rifle, 10 metres",Gold
8126,2008,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
8127,2016,"Shooting Women's Air Rifle, 10 metres",Silver
8128,2016,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
8129,1952,Figure Skating Women's Singles,Bronze
8130,1964,"Equestrianism Mixed Three-Day Event, Team",Silver
8131,1960,Hockey Men's Hockey,Bronze
8132,1960,Hockey Men's Hockey,Bronze
8133,2016,Rowing Women's Single Sculls,Bronze
8134,2000,"Equestrianism Mixed Jumping, Individual",Gold
8135,1968,Weightlifting Men's Heavyweight,Bronze
8136,1900,Sailing Mixed 3-10 Ton,Bronze
8137,1900,Sailing Mixed 3-10 Ton,Silver
8138,1912,Art Competitions Mixed Sculpturing,Silver
8139,1900,Sailing Mixed 3-10 Ton,Bronze
8140,1900,Sailing Mixed 3-10 Ton,Silver
8141,1906,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
8142,1920,"Gymnastics Men's Team All-Around, Swedish System",Bronze
8143,2004,Swimming Men's 100 metres Breaststroke,Bronze
8144,2008,Swimming Men's 100 metres Breaststroke,Bronze
8145,2008,Swimming Men's 200 metres Breaststroke,Bronze
8146,1900,Sailing Mixed 1-2 Ton,Bronze
8147,1996,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
8148,1996,Athletics Men's Discus Throw,Silver
8149,1964,Rowing Men's Double Sculls,Gold
8150,1920,Tug-Of-War Men's Tug-Of-War,Bronze
8151,1984,"Fencing Men's Sabre, Team",Silver
8152,1992,"Fencing Men's Sabre, Team",Bronze
8153,2014,Ice Hockey Men's Ice Hockey,Gold
8154,1992,Figure Skating Mixed Ice Dancing,Silver
8155,1992,Figure Skating Mixed Ice Dancing,Silver
8156,1968,Diving Women's Platform,Gold
8157,1972,Diving Women's Platform,Silver
8158,1972,Football Men's Football,Bronze
8159,1904,Football Men's Football,Gold
8160,1908,Lacrosse Men's Lacrosse,Gold
8161,2004,Hockey Men's Hockey,Bronze
8162,1920,"Fencing Men's Foil, Individual",Bronze
8163,1920,"Fencing Men's Foil, Team",Silver
8164,1924,"Fencing Men's Foil, Individual",Gold
8165,1924,"Fencing Men's Foil, Team",Gold
8166,1924,"Fencing Men's epee, Individual",Silver
8167,1924,"Fencing Men's epee, Team",Gold
8168,1924,"Fencing Men's Sabre, Individual",Silver
8169,1928,"Fencing Men's Foil, Team",Silver
8170,1964,Gymnastics Women's Floor Exercise,Bronze
8171,1960,Football Men's Football,Bronze
8172,2010,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
8173,1988,Gymnastics Women's Floor Exercise,Bronze
8174,1984,Luge Men's Singles,Bronze
8175,2012,Rhythmic Gymnastics Women's Group,Gold
8176,1948,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
8177,1964,Athletics Men's 4 x 100 metres Relay,Silver
8178,1980,Sailing Mixed Multihull,Silver
8179,1920,Hockey Men's Hockey,Silver
8180,1994,Ice Hockey Men's Ice Hockey,Gold
8181,2000,Baseball Men's Baseball,Silver
8182,1964,Swimming Women's 400 metres Freestyle,Gold
8183,1964,Swimming Women's 100 metres Backstroke,Bronze
8184,2008,Baseball Men's Baseball,Bronze
8185,1932,Weightlifting Men's Light-Heavyweight,Bronze
8186,2000,Hockey Men's Hockey,Bronze
8187,1906,"Fencing Men's epee, Team",Silver
8188,1994,"Ski Jumping Men's Large Hill, Team",Gold
8189,2004,Rowing Men's Lightweight Double Sculls,Silver
8190,1912,"Equestrianism Men's Jumping, Team",Silver
8191,1928,Ice Hockey Men's Ice Hockey,Bronze
8192,2014,Freestyle Skiing Women's Moguls,Silver
8193,2014,Freestyle Skiing Women's Moguls,Gold
8194,1980,"Wrestling Men's Bantamweight, Freestyle",Bronze
8195,1936,Bobsleigh Men's Four,Bronze
8196,1988,Swimming Women's 4 x 100 metres Medley Relay,Bronze
8197,1936,Polo Men's Polo,Gold
8198,2010,Ice Hockey Women's Ice Hockey,Silver
8199,2014,Ice Hockey Women's Ice Hockey,Silver
8200,2000,Water Polo Men's Water Polo,Silver
8201,1904,Gymnastics Men's Team All-Around,Bronze
8202,1904,Gymnastics Men's Parallel Bars,Bronze
8203,2014,Figure Skating Mixed Team,Silver
8204,1980,Rowing Men's Coxed Eights,Gold
8205,1900,Cycling Men's Points Race,Silver
8206,2012,"Equestrianism Mixed Dressage, Individual",Gold
8207,2012,"Equestrianism Mixed Dressage, Team",Gold
8208,2016,"Equestrianism Mixed Dressage, Individual",Gold
8209,2016,"Equestrianism Mixed Dressage, Team",Silver
8210,1924,Water Polo Men's Water Polo,Gold
8211,1928,Water Polo Men's Water Polo,Bronze
8212,2014,Snowboarding Women's Parallel Slalom,Gold
8213,1980,"Wrestling Men's Featherweight, Freestyle",Silver
8214,2010,Skeleton Men's Skeleton,Silver
8215,2014,Skeleton Men's Skeleton,Silver
8216,1976,Rowing Men's Quadruple Sculls,Silver
8217,1936,"Fencing Men's epee, Team",Bronze
8218,1908,"Athletics Men's 3 mile, Team",Silver
8219,2012,Diving Men's Synchronized Springboard,Bronze
8220,1980,Volleyball Men's Volleyball,Bronze
8221,1956,Athletics Men's High Jump,Gold
8222,1952,Athletics Women's Discus Throw,Bronze
8223,1988,Rowing Men's Coxed Eights,Silver
8224,2012,Basketball Women's Basketball,Silver
8225,2000,Rowing Women's Coxed Eights,Gold
8226,1956,Boxing Men's Light-Welterweight,Bronze
8227,1988,Boxing Men's Featherweight,Silver
8228,1960,Shooting Men's Trap,Gold
8229,2012,"Fencing Men's Sabre, Team",Silver
8230,1992,"Fencing Women's Foil, Team",Bronze
8231,1956,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
8232,2008,Judo Women's Extra-Lightweight,Gold
8233,2012,Judo Women's Extra-Lightweight,Silver
8234,1980,Handball Men's Handball,Bronze
8235,1984,Handball Men's Handball,Bronze
8236,1984,Weightlifting Men's Middle-Heavyweight,Silver
8237,1968,"Canoeing Women's Kayak Singles, 500 metres",Bronze
8238,1972,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
8239,1904,Rowing Men's Coxless Fours,Bronze
8240,1960,Rowing Men's Coxed Fours,Silver
8241,2000,"Shooting Men's Air Pistol, 10 metres",Gold
8242,2016,Cycling Men's Individual Time Trial,Silver
8243,1968,Football Men's Football,Gold
8244,1972,Football Men's Football,Silver
8245,1972,Football Men's Football,Silver
8246,1960,Football Men's Football,Bronze
8247,1968,Football Men's Football,Gold
8248,1968,Sailing Mixed 5.5 metres,Silver
8249,1988,Rhythmic Gymnastics Women's Individual,Silver
8250,2016,Boxing Men's Light-Welterweight,Bronze
8251,1952,Rowing Men's Coxed Eights,Gold
8252,1980,Gymnastics Women's Team All-Around,Silver
8253,1912,Athletics Men's Discus Throw,Bronze
8254,2004,Basketball Men's Basketball,Bronze
8255,1932,Ice Hockey Men's Ice Hockey,Gold
8256,1906,Athletics Men's 110 metres Hurdles,Bronze
8257,1980,Rowing Men's Quadruple Sculls,Gold
8258,1980,Athletics Men's 4 x 100 metres Relay,Silver
8259,1996,Gymnastics Men's Horizontal Bar,Silver
8260,1984,Football Men's Football,Silver
8261,2002,Ice Hockey Men's Ice Hockey,Silver
8262,1968,Luge Women's Singles,Bronze
8263,1976,Basketball Women's Basketball,Silver
8264,2016,Athletics Men's 4 x 400 metres Relay,Silver
8265,2012,Rowing Men's Coxless Fours,Silver
8266,2016,Rowing Men's Coxless Fours,Silver
8267,1932,Rowing Men's Coxed Eights,Gold
8268,1908,Sailing Mixed 12 metres,Gold
8269,1936,Athletics Men's Discus Throw,Silver
8270,1998,Snowboarding Women's Halfpipe,Bronze
8271,1936,Diving Women's Platform,Silver
8272,1998,Ice Hockey Women's Ice Hockey,Gold
8273,2002,Ice Hockey Women's Ice Hockey,Silver
8274,2006,Ice Hockey Women's Ice Hockey,Bronze
8275,1976,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
8276,1948,Ice Hockey Men's Ice Hockey,Gold
8277,1900,Football Men's Football,Silver
8278,1988,Water Polo Men's Water Polo,Silver
8279,2004,"Fencing Women's epee, Team",Silver
8280,1936,"Art Competitions Mixed Sculpturing, Medals",Bronze
8281,1924,Rugby Men's Rugby,Silver
8282,1920,"Shooting Men's Trap, Team",Silver
8283,1948,"Cycling Men's Road Race, Team",Bronze
8284,1948,"Cycling Men's 1,000 metres Time Trial",Gold
8285,1906,Athletics Men's Standing High Jump,Silver
8286,1924,Rugby Men's Rugby,Silver
8287,1948,Bobsleigh Men's Four,Bronze
8288,1948,Bobsleigh Men's Four,Bronze
8289,1998,Ice Hockey Women's Ice Hockey,Silver
8290,2002,Ice Hockey Women's Ice Hockey,Gold
8291,1964,Athletics Women's 800 metres,Silver
8292,1992,"Wrestling Men's Lightweight, Greco-Roman",Silver
8293,1912,Swimming Women's 100 metres Freestyle,Gold
8294,1968,"Wrestling Men's Heavyweight, Freestyle",Silver
8295,1972,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
8296,2008,Softball Women's Softball,Silver
8297,1988,"Equestrianism Mixed Jumping, Individual",Gold
8298,1988,"Equestrianism Mixed Jumping, Team",Bronze
8299,1960,"Equestrianism Men's Three-Day Event, Team",Bronze
8300,1912,Water Polo Men's Water Polo,Bronze
8301,1920,Water Polo Men's Water Polo,Silver
8302,1924,Water Polo Men's Water Polo,Silver
8303,1912,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
8304,1912,"Shooting Men's Dueling Pistol, 30 metres, Team",Bronze
8305,2012,Basketball Men's Basketball,Gold
8306,2016,Basketball Men's Basketball,Gold
8307,2016,Rowing Men's Coxed Eights,Gold
8308,1980,Handball Men's Handball,Bronze
8309,1984,Handball Men's Handball,Bronze
8310,1964,Rowing Men's Coxless Fours,Bronze
8311,1924,Weightlifting Men's Lightweight,Bronze
8312,1920,"Gymnastics Men's Team All-Around, Swedish System",Bronze
8313,1920,Gymnastics Men's Team All-Around,Bronze
8314,1960,Football Men's Football,Gold
8315,1964,Bobsleigh Men's Four,Silver
8316,1968,Bobsleigh Men's Four,Silver
8317,1984,Rowing Men's Quadruple Sculls,Gold
8318,1948,Ice Hockey Men's Ice Hockey,Bronze
8319,1948,Ice Hockey Men's Ice Hockey,Bronze
8320,1996,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
8321,2000,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
8322,2004,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
8323,1908,Rowing Men's Coxless Pairs,Bronze
8324,2016,Boxing Men's Light-Flyweight,Gold
8325,1928,Hockey Men's Hockey,Silver
8326,1984,Gymnastics Women's Team All-Around,Silver
8327,1994,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
8328,1900,"Shooting Men's Free Pistol, 50 metres, Team",Silver
8329,1984,Hockey Men's Hockey,Bronze
8330,1948,Hockey Men's Hockey,Gold
8331,1952,Hockey Men's Hockey,Gold
8332,2012,"Wrestling Men's Lightweight, Freestyle",Bronze
8333,1988,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
8334,1908,Lacrosse Men's Lacrosse,Silver
8335,1996,"Equestrianism Mixed Three-Day Event, Team",Gold
8336,2000,"Equestrianism Mixed Three-Day Event, Team",Gold
8337,2016,"Equestrianism Mixed Three-Day Event, Individual",Bronze
8338,1900,Sailing Mixed 1-2 Ton,Silver
8339,1900,Sailing Mixed 1-2 Ton,Bronze
8340,1968,Rowing Men's Coxed Eights,Silver
8341,1904,Archery Men's Team Round,Silver
8342,1976,Boxing Men's Flyweight,Silver
8343,1920,Gymnastics Men's Team All-Around,Bronze
8344,1996,Boxing Men's Light-Middleweight,Silver
8345,2008,Baseball Men's Baseball,Silver
8346,1932,Weightlifting Men's Lightweight,Gold
8347,1992,Handball Women's Handball,Silver
8348,2000,Handball Women's Handball,Bronze
8349,1976,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
